nama_provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai,tahun,indeks_pembangunan_manusia,indeks_tpt,persentase_penduduk_miskin
Jawa Tengah,270304.0,21150,64262,85412,2022,72.79,5.57,10.93
Di Yogyakarta,21448.0,1570,4537,6107,2022,80.64,4.06,11.34
Jawa Timur,305458.0,29150,72915,102065,2022,72.75,5.49,10.38
Banten,74616.0,4006,14695,18701,2022,73.32,8.09,6.16
Bali,3047.0,...,...,...,2022,76.44,4.8,4.57
Nusa Tenggara Barat,32939.0,2373,8373,10746,2022,69.46,2.89,13.68
Nusa Tenggara Timur,3388.0,195,408,603,2022,65.9,3.54,20.05
Kalimantan Barat,24266.0,1379,4257,5636,2022,68.63,5.11,6.73
Kalimantan Tengah,14548.0,1015,2987,4002,2022,71.63,4.26,5.28
Kalimantan Selatan,27071.0,1773,6452,8225,2022,71.84,4.74,4.49
Kalimantan Timur,22757.0,2550,7641,10191,2022,77.44,5.71,6.31
Kalimantan Utara,3615.0,...,...,...,2022,71.83,4.33,6.77
Sulawesi Utara,7071.0,485,1696,2181,2022,73.81,6.61,7.28
Sulawesi Tengah,16571.0,1012,3448,4460,2022,70.28,3.0,12.33
Sulawesi Selatan,57789.0,3854,13504,17358,2022,72.82,4.51,8.63
Sulawesi Tenggara,16616.0,1010,3349,4359,2022,72.23,3.36,11.17
Gorontalo,9500.0,535,2199,2734,2022,69.81,2.58,15.42
Sulawesi Barat,7791.0,...,...,...,2022,66.92,2.34,11.75
Maluku,5648.0,265,682,947,2022,70.22,6.88,15.97
Maluku Utara,6080.0,432,1056,1488,2022,69.47,3.98,6.23
Papua Barat,2499.0,...,...,...,2022,65.89,5.37,21.33
Papua,3879.0,617,1558,2175,2022,61.39,2.83,26.56
Aceh,33979.0,1575,5369,6944,2023,73.4,6.03,14.45
Sumatera Utara,70630.0,3523,14746,18269,2023,73.37,5.89,8.15
Sumatera Barat,38355.0,2294,6972,9266,2023,73.75,5.94,5.95
Riau,40301.0,2437,7704,10141,2023,74.04,4.23,6.68
Jambi,23037.0,1157,3932,5089,2023,72.77,4.53,7.58
Sumatera Selatan,51346.0,2569,8881,11450,2023,71.62,4.11,11.78
Bengkulu,13538.0,932,3173,4105,2023,72.78,3.42,14.04
Lampung,54257.0,3172,12612,15784,2023,71.15,4.23,11.11
Kepulauan Bangka Belitung,8559.0,578,1950,2528,2023,72.85,4.56,4.52
Kepulauan Riau,11436.0,992,2960,3952,2023,77.11,6.8,5.69
Dki Jakarta,43363.0,4293,12970,17263,2023,82.46,6.53,4.44
Jawa Barat,317715.0,24610,77670,102280,2023,73.74,7.44,7.62
